,serviceCharge,heatingType,newlyConst,balcony,picturecount,totalRent,yearConstructed,noParkSpaces,firingTypes,hasKitchen,cellar,yearConstructedRange,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,regio3,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish
2272,150.0,self_contained_central_heating,False,False,6,,1955.0,,gas:district_heating,False,True,2.0,960.0,68.0,fully_renovated,,,True,apartment,50677,2.0,151.0,2.0,6.0,2,False,Altstadt_&_Neustadt_Süd,"o Gas-Etagenheizung mit Warmwasserversorgung
o Fenster: Doppelverglast in Kunststoff-Rahmen
o Bad mit Eck-Wanne, WC und Waschbecken, Waschmaschinenaufstellmöglichkeit gegeben
o Bodenbeläge: Fliesen in Diele, Wohnzimmer und Badezimmer, Laminat in den Schlafräumen
o TV: Kabelanschluss
o Gegensprechanlage
o Kellerraum 
o Aufzug
",,,
2310,250.0,central_heating,False,True,10,1000.0,1980.0,,gas,False,True,3.0,750.0,99.0,well_kept,normal,negotiable,False,apartment,51107,3.0,122.0,,,3,False,Rath/Heumar,,,D,
2318,120.0,self_contained_central_heating,False,False,6,800.0,1900.0,,gas,False,True,1.0,680.0,68.0,first_time_use_after_refurbishment,sophisticated,,False,other,51103,3.0,,1.0,4.0,3,False,Kalk,Attraktiver Vinylboden in der gesamten Wohnung. Ganz flächig neu verputzte Wände und Decken in der Farbe weiß.Modernes Bad mit attraktiven Fliesen und Sanitärobjekten. Der kleine - sauber verputzte und mit Vinylboden versehene-  Abstellraum hilft hervorragend im Wohnalltag.,,,2019.0
2324,90.0,central_heating,False,False,6,459.0,,,gas,True,True,,369.0,23.1,well_kept,normal,no,False,ground_floor,50935,1.0,,0.0,4.0,1,False,Lindenthal,"Das hier beschriebene Appartement teilt sich in folgende Räume auf: Wohn-/Schlafzimmer mit Wohnküche, Badezimmer, Diele.

Die Warmwasseraufbereitung erfolgt über die moderne Gas-Zentralheizung, es ist also kein Durchlauferhitzer oder ähnliches vorhanden.

Der aktuelle Mieter ist an einer Übernahme von Möbelstücken interessiert. Näheres hierzu teilen wir Ihnen im Rahmen der Wohnungsbesichtigung mit.",,,
2414,140.0,central_heating,False,False,9,635.0,,,oil,False,False,,495.0,54.0,modernized,sophisticated,negotiable,False,apartment,50769,2.0,,2.0,2.0,2,False,Merkenich,"heller einheitlicher Laminatfußboden in allen Räumen, Badezimmer deckenhoch hell gefliest, Abstellraum in Hausflur, charmante hohe Decken, großer Einbauschrank im Schlafzimmer, Küche des Vormieters kann optional übernommen werden, keine unerwarteten Kosten auf Grund einer Nebenkostenpauschale.",,,2011.0
2475,600.0,,False,True,12,2500.0,1982.0,,,False,False,4.0,1900.0,104.0,,,,True,,50935,3.0,,,,3,False,Lindenthal,"Die Wohnung wird vollmöbliert vermietet.

Alle Böden des Dielen-/Wohn- und Schlafbereich sind mit hellen Marmorfliesen ausgelegt. Der Küchenboden ist schwarz-weiß gefliest. Gäste-WC und Bad haben anthrazitfarbene Böden, helle großformatige Wandfliesen oder Mosaikfliesen und weiße Sanitäranlagen.
Die Wohnung ist mit weißen Einbauschränken in der Diele und im Schlafraum ausgestattet.
Die weiße Einbauküche verfügt über hochwertige Elektrogeräte.



",,,
2500,70.0,central_heating,False,False,1,360.0,1900.0,,,False,True,1.0,290.0,26.0,well_kept,normal,no,False,ground_floor,51063,1.0,,0.0,4.0,1,False,Mülheim,"Helle, freundliche Wohnung; in Küche: Spüle vorhanden.",,,2018.0
2505,235.0,heat_pump,False,True,11,1515.0,2015.0,1.0,geothermal,False,True,8.0,1200.0,94.0,mint_condition,luxury,no,True,apartment,50859,3.0,,0.0,3.0,3,False,Widdersdorf,"offener Küchenbereich
V&B Fliesen
Fußbodenheizung
KfW-70
elktr. Rollläden
Keller
extra breits TG-Stellplatz
hochwertige Badzimmerausstattung
Hausmeister
Aufzug
großes Treppenhaus
bodentiefe Fenster 
Rufanlage mit Kamera
Aussensteckdose auf dem Balkon sowie Lampen",,A_PLUS,
2588,130.0,,False,True,7,930.0,,,electricity,True,True,,800.0,48.0,first_time_use_after_refurbishment,luxury,,False,ground_floor,50937,2.0,,,,2,False,Sülz,"Eichenparkett Stuck EBK mit Spülmaschine und allen Geräten, Einbauschrank,,Decken- und Wandlampen, Duschbad, begrünter Innenhof, teilmöbliert",,,2018.0
2634,780.0,central_heating,False,True,12,2750.0,1960.0,1.0,gas,False,True,2.0,1970.0,218.0,,normal,negotiable,True,apartment,50668,3.0,149.8,4.0,,3,False,Altstadt_&_Neustadt_Nord,"-- ca. 65qm großer Wohneßbereich mit offener Einbauküche und Balkon

-- große Eingangsdiele

-- Bad mit Eckwanne und Ausgang Balkon

-- Duschbad mit Waschmaschinen-Anschluss

-- Ankleidezimmer mit hochwertigen Einbauschränken

-- großer Balkon mit elektrischen Sonnenmarkisen und kleinem Abstellraum (f. Polster, Blumenerde etc.)

-- neuwertige Vinyl-Böden in hochwertiger Holzoptik

-- Sicherheitstür

-- Klimageräte

-- renovierte Übergabe

-- Personenaufzug

-- Kellerraum

-- Einzelgarage

Die Einbauküche, Sonnenmarkise, Klimageräte und Alarmanlage werden dem Mieter unentgeltlich zur Nutzung für die Mietzeit überlassen.

Die Miete erhöht sich alle 3 Jahre um jeweils 3%.",,E,
