,serviceCharge,heatingType,newlyConst,balcony,picturecount,totalRent,yearConstructed,noParkSpaces,firingTypes,hasKitchen,cellar,yearConstructedRange,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,regio3,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish
83718,350.0,central_heating,False,True,23,2190.0,1965.0,1.0,gas,True,True,2.0,1840.0,160.0,modernized,normal,yes,False,terraced_flat,50859,3.5,,0.0,2.0,3,True,Weiden,"Ein neues Badezimmer wird soeben eingebaut. Die Küche besitzt eine Spülmaschine, Kühlschrank und Herd. Diese Küche ist in die Jahre gekommen und kann aber genutzt werden.",,,2019.0
83757,151.5,,False,False,6,1166.0,1967.0,,oil,False,True,2.0,934.5,89.0,fully_renovated,,,False,apartment,51065,3.0,122.0,1.0,5.0,3,False,Mülheim,"Die 3-Zimmer-Wohnung verteilt sich auf großzügige 89 m². 

- Laminatboden und Raufasertapete in Wohnräumen 
- Anthrazite Boden- und Wandfliesen in Küche und Bad
- Badewanne
- Keller je nach Kapazität
- Haustiere nach Vereinbarung
- Hausmeisterservice
- Mieterservice
- 24h Service-Center
",80.0,,
83779,176.0,floor_heating,False,True,3,1554.0,2015.0,1.0,local_heating,False,True,8.0,1270.0,97.55,,sophisticated,,True,apartment,50858,4.0,139.0,1.0,4.0,4,False,Junkersdorf,"Bodentiefe Fenster ermöglichen einen freien Ausblick und bringen viel Licht in die Wohnung. Unsere Wohnungen sind mit Echtholzparkett ausgelegt und verfügen über einen Balkon/Loggia, elektrische Rolläden, sowie einen eigenen Kellerraum. Sie haben keine störenden Heizkörper, Sie können Ihre Fußbodenheizung für jedes einzelne Zimmer regulieren. In dieser Wohnung befinden sich 2 Bäder mit hochwertigen Wandfliesen und Sanitärausstattung, beide sind mit Fußbodenheizung und Handtuchheizkörpern ausgestattet.
Haustiere sind bei uns nach vorheriger Absprache herzlich willkommen.",108.0,NO_INFORMATION,
83786,170.0,central_heating,False,False,9,842.0,1951.0,1.0,gas,True,True,2.0,672.0,64.0,well_kept,normal,yes,False,other,51105,2.0,,2.0,3.0,2,False,Humboldt/Gremberg,"Große Erle-Vollholz EBK mit Spülmaschine, Kühlschrank, E-Herd / Backofen, Waschmaschine. Küche hellgrau gefliest; Tageslicht Wannenbad, weiß gefliest; große Diele mit Abstellraum / Einbauregal; die Wohnung hat durchgängiges Ahornparkett. TV Kabelanschluss; sehr gute Internetverfügbarkeit; viele Steckdosen. Jalousien in Wohnzimmer, Küche, Bad. Auf Wunsch lichtdichte Vorhänge in Wohn- und Schlafzimmer. Die helle, freundliche Wohnung ist gut geschnitten; östlich in ruhiger Einbahnstraße; westlich begrüntes Höfeareal.",,,1993.0
83865,80.0,district_heating,False,True,10,,,,,False,False,,610.0,49.0,well_kept,,no,False,apartment,50739,2.0,,1.0,3.0,2,False,Mauenheim,"° Laminatboden in der gesamten Wohnung
° Kunststoff-Fenster mit Isolierverglasung
° Süd-West Loggia
° Loggia mit Fliesenboden
° Weiß gefliestes Badezimmer mit Fenster
° Separates WC ebenfalls mit Fenster 
° Die vorhandene Einbauküche wird dem neuen Mieter zur kostenlosen Nutzung zur Verfügung gestellt.

° Zur Wohnung gehört ein Kellerraum. Die Waschmaschine findet in der gemeinschaftlich genutzten Waschküche ihren Platz. Beheizt wird das Objekt mit Fernwärme. Das Warmwasser wird über elektrische Durchlauferhitzer erzeugt.",,,
84010,300.0,central_heating,True,True,10,1875.0,2019.0,1.0,district_heating,True,True,9.0,1575.0,96.04,first_time_use,sophisticated,negotiable,True,apartment,50676,3.0,,2.0,5.0,3,False,Altstadt_&_Neustadt_Süd,"- Parkettboden
- Fußbodenheizung
- Wände mit Malervlies
- Loggia in Westausrichtung
- Balkon in Ostausrichtung
- Einbauküche
- Bad en Suite mit Dusche und Badewanne
- separates Duschbad
- kontrolliertes Lüftungssystem
- 3-fach-Verglasung
- Videogegensprechanlage
- Kellerraum
- Tiefgaragenstellplatz

",,,
84080,130.0,central_heating,False,True,17,900.0,1995.0,,gas,True,False,5.0,770.0,65.0,refurbished,,no,False,apartment,50858,2.0,,2.0,2.0,2,False,Weiden,"Die Wohnung ist frisch saniert mit hochwertigen Laminat , neuen Fenster, neuer Terrassenbelag und Wände gestrichen. Einbauküche",,,2020.0
84164,140.0,,False,False,7,1215.0,,,,True,False,,1075.0,98.0,,,,False,apartment,50823,2.5,,1.0,4.0,2,False,Neuehrenfeld,,,,
84373,185.0,self_contained_central_heating,False,True,22,1095.0,1984.0,,gas,False,True,4.0,910.0,90.0,first_time_use_after_refurbishment,sophisticated,,False,apartment,51103,4.0,98.62,2.0,4.0,4,False,Kalk,"Die gesamte Wohnung wurde komplett saniert. Die Böden in den Wohn- und Schlafräumen sowie in der Küche sind mit modernen, hochwertigen Vinylböden ausgestattet, im geräumigen Wannenbad, in dem auch ein Waschmaschinenanschluss vorhanden ist, sowie im Gäste-WC sind die Böden mit anthrazitfarbenen, großflächigen Fliesen gefliest. Die Wände im Bad wurden mit großflächigen Fliesen in Marmoroptik gefliest.",,,2019.0
84409,90.0,self_contained_central_heating,False,True,8,910.0,1898.0,,gas,False,True,1.0,820.0,58.0,first_time_use_after_refurbishment,sophisticated,,False,ground_floor,50674,2.0,,1.0,4.0,2,True,Altstadt_&_Neustadt_Süd,"Im Rahmen der Sanierung wurden Heizung inkl. Heizkörper u. Fensterbänke, Bad u. Sanitäranlagen, Elektroinstallation, Bodenbelege und Türen erneuert und neue Einbauschränke eingebaut. Die Böden sind mit hochwertigen Eichendielen bzw. Fliesen ausgelegt. Die Wände sind mit Malervlies verkleidet und weiß gestrichen. Im Flur und Bad sind Deckenstrahler eingebaut. Der Garten ist neu angelegt.",,,
84442,50.0,central_heating,False,True,8,650.0,,,,True,False,,600.0,10.0,modernized,sophisticated,no,False,apartment,50667,1.0,,1.0,5.0,1,False,Altstadt_&_Neustadt_Süd,"Die Wohnung selbst befindet sich in der 1. Etage. Alle Zimmer (bis auf die zwei Badezimmer) sind mit schönem Parkett versehen. 
Die Küche ist maßgefertigt, fully equipped und mit High-End Elektrogeräten ausgestattet. Hier steht Dir alles zur Verfügung, was Du für die Zubereitung kulinarischer Kreationen benötigst.
Die Badezimmer sind modern und hell gestaltet und verfügen über jeweils eine Dusche und WC. Natürlich findest Du hier auch eine praktische Waschtrockner-Kombination, sodass Dir mehr Zeit für die schönen Dinge bleibt… :)
In Deinem Zimmer steht ein gemütliches Boxspringbett (140 x 200 cm) bereit. Darüber hinaus gehören sowohl ein großzügiger Spiegelschrank als auch ein 40 Zoll Smart-TV zu Deiner Einrichtung. Netflix Abenden steht also nichts im Wege… :)
Highspeed Internet ist selbstverständlich vorhanden.
Dank dem wöchentlichen Cleaningservice gehören Putzpläne der Vergangenheit an. Genießt stattdessen lieber entspannte Momente in Eurer Community.",,,2019.0
84622,120.0,,False,True,11,975.0,1996.0,1.0,gas,False,True,5.0,725.0,78.93,well_kept,normal,negotiable,False,apartment,51147,3.0,81.0,1.0,3.0,3,True,Wahn,,110.0,,
84809,80.0,district_heating,False,True,23,760.0,,,electricity,False,True,,680.0,59.0,well_kept,normal,negotiable,False,apartment,51065,3.0,,3.0,4.0,3,True,Buchforst,Laminatboden in allen Zimmern. Küche und Diele gefliest.,,,
84949,200.0,floor_heating,False,True,13,,,,district_heating,False,True,,900.0,86.0,mint_condition,,negotiable,True,ground_floor,51109,3.0,76.0,,3.0,3,False,Merheim,"CAPERA - einziehen  und wohnfühlen !!!

Der Komplex wurde im Jahr 2015 mit 78 Mietwohnungen neugebaut und bietet Wohnungen mit hoher Qualität - für jede Generation. Alle Wohnungen sind mit Parkettböden, Fußbodenheizungen, elektrischen Rollläden, Gegensprechanlagen mit Bild, offener Wohnküchen als auch mit modernen Badezimmern und Sonnenterassen oder Balkonen ausgestattet.

Bitte beachten sie, dass die gezeigten Fotos Beispielbilder sind.
",80.0,,
85070,250.0,gas_heating,False,True,24,1950.0,2014.0,,,True,True,8.0,1700.0,100.0,mint_condition,sophisticated,no,False,raised_ground_floor,50933,3.0,,0.0,2.0,3,False,Braunsfeld,"Vollgedämmtes Dach sowie Fassaden. Bodentiefe Fenster und große Türzuschnitte verschaffen ein helles großzügiges Raumgefühl in allen Räumen. Italienische Bodenkeramikfliesen und Fußbodenheizung, Designerbad mit begehbarer Dusche, Badewanne, vollausgestattet, Video-Gegensprechanlage, weiße Echtholzfenster (3fachverglast), neueste Haustechnik, Terrasse Bankirai/Glas, Kellerbox, Fahrradkeller, Anwohnerparken, gute Parkmöglichkeiten vor der Tür. Kein fester Stellplatz, keine Garage.
Die freistehende Küche hat einen Wert von 8.000 Euro und sollte mit gekauft werden (4.000 Euro). Sehr hochwertig, 5 Jahre alt.",125.0,,2014.0
85138,130.0,central_heating,False,True,12,835.0,1963.0,,gas,False,True,2.0,670.0,68.0,modernized,normal,negotiable,False,apartment,50739,3.0,,1.0,3.0,3,True,Bilderstöckchen,"Helle Wohnung im Hochparterre, Westausrichtung, neuer Elektrik, modernisiertes Bad, Wasch- und Trockenraum im Keller.",35.0,,1997.0
85282,400.0,,False,True,8,2600.0,,2.0,,False,True,,2200.0,152.0,negotiable,,yes,True,terraced_flat,50935,4.0,,2.0,4.0,4,False,Lindenthal,"Marmorböden, offener Kamin, Fußbodenheizung, Weinkeller",,,
85293,,,False,False,12,,1967.0,,district_heating,False,False,2.0,995.0,23.0,modernized,,no,True,apartment,50933,1.0,143.0,6.0,7.0,1,False,Braunsfeld,"hochwertige designer Möblierung, integrierte Küche mit Geschirrspüler und Mikrowelle, Parkett und Fliesenboden, Rainshower Dusche, Kabel TV, Flatscreen, WLAN Internetanschluss, Waschmaschine und Trockner",,E,
85296,190.0,floor_heating,False,True,19,1060.0,2014.0,1.0,district_heating,True,True,8.0,800.0,75.0,mint_condition,sophisticated,,True,apartment,51061,2.0,49.0,1.0,3.0,2,False,Höhenhaus,"Echtholzparkett (Eiche ""Animoso"", gebürstet und versiegelt) in Wohn- und Schlafbereich. 
Küche und Bad sind hellgrau gefliest. 
Lampen sind bereits vorinstalliert. 
An allen Fenstern sind elektrische Rollladen vorhanden. 
Kabel-TV von Unity Media ist mit in den Nebenkosten enthalten.

Die Einbauküche (2 Jahre alt; alles dabei, was man so braucht ) wird kostenlos zur Nutzung überlassen. Einige Möbelstücke können (müssen aber nicht) gegen einen Abschlag übernommen werden.",,NO_INFORMATION,2017.0
85633,,,False,False,11,950.0,,,,True,True,,750.0,44.0,,,,False,apartment,50969,2.0,,,,2,False,Zollstock,,,,
85707,121.0,,False,False,9,658.0,,,,True,False,,537.0,27.0,,,no,True,other,50969,1.0,,4.0,4.0,1,False,Zollstock,"Es befindet sich im Gottesweg zwischen Zollstock Gottesweg und Zollstock Herthastr. (Linie 12, innerhalb von 3 Minuten zu Fuß).",,,
85756,185.0,central_heating,True,True,8,1060.0,2020.0,,district_heating,True,True,9.0,875.0,60.03,first_time_use,,negotiable,True,apartment,51065,2.0,52.0,2.0,4.0,2,False,Mülheim,"Urban und grün!

Unweit des Mülheimer Stadtgartens gelegen, bieten die BERTOLDI GÄRTEN grünes Wohnen im urbanen Raum. Das moderne, mehrteilige Wohnensemble wirkt durch seine bodentiefen Fenster, sowie Terrassen und Balkone offen und einladend.

Aufwändig gestalte Außenanlagen verbinden die Gebäudeteile mit Spiel- und Aufenthaltsflächen für die Bewohner. 

Alle Wohnungen bestechen mit Komfort und Eleganz:

- Echtholzparkett und Fußbodenheizung
- Moderne Einbauküche 
- Balkon und/oder Terrasse
- hochwertige Boden- und Wandfliesen in den Badezimmern und WCs
- Waschmaschinen- und Trockneranschluss in der Wohnung
- Außenrollläden im Erdgeschoss & Verdunklungsjalousien in den Schlafzimmern
- Keller für jede Wohnung
- Zugang mittels Aufzug
- Videogegensprechanlagen
- Tiefgaragenstellplätze & Fahrradabstellplätze",,B,
85848,100.0,central_heating,False,True,6,980.0,1975.0,,gas,False,False,3.0,830.0,67.0,,,no,False,apartment,51103,2.0,126.7,1.0,3.0,2,False,Vingst,"Sonnenhelle und großzügig geschnittene 2-Raumwohnung mit großer Wohnküche, 
Süd-Balkon, Wohndiele und Fenster-Wannenbad/WC.",50.0,,
85937,310.0,central_heating,True,True,20,1933.0,2019.0,1.0,combined_heat_and_power_fossil_fuels,False,True,9.0,1543.0,115.0,first_time_use,sophisticated,,True,maisonette,50823,3.0,50.0,4.0,4.0,3,False,Ehrenfeld,"- Aufzug
- Tiefgaragenstellplatz (optional)
- Fußbodenheizung
- Keller
- 2 Tageslichtbäder
- Abstellraum in der Wohnung",80.0,B,
85994,170.0,floor_heating,True,True,4,920.0,2020.0,,,False,True,9.0,750.0,65.07,,,negotiable,True,terraced_flat,50769,2.0,,,,2,True,Worringen,"Alle Wohnungen verfügen über barrierefreie Grundrisse. 

Je Haus ist eine Aufzugsanlage vorhanden, die Sie bequem vom Kellergeschoss bis ins Obergeschoss bringt.

Die intelligent geplanten Grundrisse tragen Ihren individuellen Wohnbedürfnissen Rechnung.

Besonders  innovativ für diese Wohnanlage ist eine Luft-Wärmepumpen-Heizungsanlage, die alle Wohnungen mit Wärme und Warmwasser versorgt. Diese kostengünstige Art der Wärmeerzeugung reduziert die Nebenkosten dauerhaft erheblich!

Eine Fußbodenheizung sorgt für wohlige Wärme. Die Bäder haben zusätzlich einen individuell regelbaren elektrischen Handtuchheizkörper.

Die ansprechenden Bäder werden mit einer bodengleichen Dusche und Glasduschkabine ausgestattet. Die Bäder der behindertengerechten Wohnungen erhalten eine Vorhangstange.

Neben dem separaten Mieterkeller haben Sie die Möglichkeit, den allgemeinen Fahrradkeller, einen eigenen Stellplatz für Waschmaschine und Trockner sowie einen Trockenraum zu nutzen.",,,
86292,350.0,central_heating,False,False,10,1540.0,,,,True,True,,1190.0,50.0,first_time_use,sophisticated,,True,apartment,50677,2.0,90.0,1.0,5.0,2,False,Altstadt_&_Neustadt_Süd,"Möblierte 2 Zimmer Wohnung in bester Lage, komplett neu und hochwertig möbliert, vollständiges Inventar, bezugsfertig, keine zusätzlichen Kosten, Echtholzparkett, und vieles mehr.",,,
86561,107.0,central_heating,False,True,5,870.26,1961.0,,gas:electricity,True,True,2.0,715.26,69.0,,,,False,apartment,51067,2.0,55.0,7.0,,2,False,Holweide,Türsprechanlage; Isolierverglasung; Warmwasser zentral (über Heizanlage); Einbauküche; rutschfeste Fliesen; barrierearmes WC; Kellerraum; Abstellkammer; Gas-Zentralheizung; Rauchwarnmelder; Loggia;,48.0,B,
86627,350.0,gas_heating,False,True,17,,1962.0,2.0,gas,True,True,2.0,3000.0,200.0,mint_condition,sophisticated,negotiable,False,maisonette,50933,5.5,155.0,1.0,2.0,5,True,Braunsfeld,"Die Wohnung entstand durch einen von einem Architekten begleiteten Umbau und Modernisierung im Jahr 2014. 
Sie  ist äußerst hochwertig  mit klassisch dezenten Materialien eingerichtet:
Boden durchgängig Parkett-Diele Eiche 
Schieferboden in der Küche
Kamin
Poggenpohl-Einbauküche mit Bora-Kochfeld, Miele- Einbaugeräte, incl. Weinkühlschrank 
hochwertiges, toll durchdachtes Lichtdesign in der gesamten Wohnung, eingebaute Designer- Wand-und Deckenleuchten 
Deckenlautsprechersystem
versenkbare Leinwand für Heimkino
Badezimmer mit Dusche im Erdgeschoss, Badezimmer mit Doppelwaschtisch, freistehender Badewanne und Luxus-Dusche im 1.Obergeschoss
WC im Souterrain 
Sauna mit Dusche im Souterrain 
Einbauschränke  in 2 Schlafzimmern 
elektrische Rolläden
große Markise an der Terrasse",,,2014.0
86792,100.0,gas_heating,False,False,5,450.0,1938.0,,gas,False,True,1.0,350.0,35.0,well_kept,normal,,False,apartment,50739,1.0,173.0,2.0,3.0,1,False,Bilderstöckchen,"Laminat- und Fliesenboden
Tageslichtbad
",,,
86795,149.0,district_heating,False,False,6,,2017.0,,local_heating,False,False,9.0,699.07,37.37,mint_condition,,no,True,,51105,1.0,43.88,3.0,4.0,1,False,Humboldt/Gremberg,"Die Appartements sind voll möbliert und modern eingerichtet. Eine Pantry-Küche mit Herd, Spüle, Kühlschrank, Mikrowelle, Kleiderschrank, Schreibtisch mit Stuhl, Hänge- und Standregal, Garderobe mit Spiegel, Bett mit Lattenrost (90 cm x 200 cm) vervollständigen die Einrichtung.
Das Objekt umfasst folgende Appartements:
•	137 Appartements (19 - 74 m² Wohnfläche)
•	10 Kfz-Stellplätze / 28 TG-Stellplätze",,A_PLUS,
86916,170.0,district_heating,False,False,7,915.0,1976.0,,district_heating,False,True,3.0,745.0,68.6,well_kept,,,False,raised_ground_floor,51109,2.0,98.2,,,2,False,Merheim,,,C,
86934,200.0,central_heating,False,True,10,1400.0,2006.0,,gas,False,True,7.0,1200.0,92.0,well_kept,normal,no,False,apartment,51103,4.0,,3.0,3.0,4,False,Kalk,Granit- und Laminatböden.,,,2015.0
87028,105.0,gas_heating,False,False,17,625.0,,,,True,True,,490.0,65.0,,,negotiable,False,apartment,51103,2.0,,4.0,5.0,2,False,Kalk,,30.0,,
87250,240.0,gas_heating,False,True,18,1120.0,1986.0,1.0,gas,True,True,4.0,880.0,80.0,well_kept,sophisticated,negotiable,True,maisonette,51143,4.0,,3.0,3.0,4,False,Porz,"Große, ruhige Süd-/West-Terrasse, bodentiefe Fensterfront mit Terrassenzugang vom Wohnzimmer, , gepflegter Laminatboden in Dielenoptik, Kunststoffenster. Die Einbauküche inkl. Elektrogeräten kann kostenfrei genutzt werden, auch der Einbau einer eigenen Küche ist möglich.
Zu der Wohnung gehört ein großer, trockener Kellerraum sowie ein Waschmaschinenstellplatz.
Das Haus wird durch einen Hausmeister betreut, der auch die Treppenhausreinigung, Winterdienst etc. erledigt.",,,
87361,120.0,central_heating,False,True,1,740.0,1965.0,,oil,True,True,2.0,620.0,43.0,,sophisticated,no,True,apartment,50670,1.0,,3.0,4.0,1,False,Altstadt_&_Neustadt_Nord,,,,2018.0
87439,170.0,,False,True,10,620.0,,,,True,True,,450.0,40.0,,,,False,roof_storey,51107,2.0,,,,2,False,Ostheim,,,,
87467,200.0,,False,True,17,2220.0,,1.0,district_heating,False,True,,1800.0,170.0,well_kept,sophisticated,,True,,50667,4.0,,4.0,4.0,4,False,Altstadt_&_Neustadt_Nord,"Die Wohnung glänzt nicht nur durch die besondere Lage, sondern ebenso durch die Ausstattung. Hochwertige versiegelte Naturschieferböden geben, massive kunstvolle Eichetüren, nicht alltäglich ausgestattete Bäder und der sonnig, spanische Flair bieten eine exquiste Wohnatmosphäre, die ihres Gleichen sucht.

Im Eingangsbereich der Wohnung befinden sich neben dem Empfangs- und Gaderobenbereich, das Gäste-WC, der Schlafbereich und ein Gäste-, Kinder-, Arbeits- oder Ankleidezimmer.

Über eine handgefertigte Treppe mit gußeisernen Stufen erreichen Sie den Mittelpunkt der Wohnung in der mittleren Etage. Neben der Küche, einem großen Tageslichtbad präsentiert sich das sehr helle und großzügige Wohn-Esszimmer mit zahlreichen Fenstern, die Ihnen den Blick in die Ferne, auf den Rhein und die wundervolle Umgebung der Altstadt freigeben.

Zwei Balkone ermöglichen ein Leben im Freien. In Sommern wie wir sie im vergangenen Jahr erleben durften eine schöne Vision.

Im nun scheidenden Winter konnte eine gemütliche Atmosphäre durch den Kamin unterstützt werden.

Die Küche ist vom Wohn-Essbereich durch eine zweiflügige Schiebetüre trenn- oder integrierbar.

In der darüberliegenden Etage befinden sich eine Sauna, ein Duschbad sowie ein Büro- oder Schlaf-Gästebereich.

Eine weitere Dachterrasse ermöglicht den Blick auf die Domspitzen und vermittelt das Empfinden der Welt entrückt zu sein.",220.0,,
87486,80.0,gas_heating,False,False,6,600.0,1985.0,1.0,gas,True,True,4.0,520.0,24.0,well_kept,sophisticated,no,False,ground_floor,50933,1.0,,1.0,3.0,1,False,Braunsfeld,"Einbauküche mit Backofen, Kühlschrank und Herd.
Sofabett, großer Einbaukleiderschrank, Schreibtisch mit Bürostuhl, kleiner Esstisch.
Waschmaschine, Trockner,
Parkettboden,
Separater Keller
",,,
87594,125.0,,False,False,8,1725.0,,,,False,True,,1600.0,80.0,,,,False,other,50735,3.0,,2.0,4.0,3,False,Niehl,,,,
87769,50.0,central_heating,False,False,13,810.0,,,,True,False,,760.0,22.0,modernized,sophisticated,no,False,apartment,50939,1.0,,2.0,5.0,1,False,Sülz,"Die Wohnung selbst befindet sich in der 2. Etage. Alle Zimmer (bis auf das Badezimmer) sind mit schönem Parkett versehen. 
Die Küche ist maßgefertigt, fully equipped und mit High-End Elektrogeräten ausgestattet. Hier steht Dir alles zur Verfügung, was Du für die Zubereitung kulinarischer Kreationen benötigst.
Das Badezimmer ist modern und hell gestaltet und verfügt über eine Badewannendusche, zusätzlich gibt es ein Gäste-WC. Natürlich findest Du hier auch eine praktische Waschtrockner-Kombination, sodass Dir mehr Zeit für die schönen Dinge bleibt… :)
In Deinem Zimmer steht ein gemütliches Boxspringbett (140 x 200 cm) bereit. Darüber hinaus gehören sowohl ein großzügiger Spiegelschrank als auch ein 40 Zoll Smart-TV zu Deiner Einrichtung. Netflix Abenden steht also nichts im Wege… :)
Highspeed Internet ist selbstverständlich vorhanden.
Dank dem wöchentlichen Cleaningservice gehören Putzpläne der Vergangenheit an. Genießt stattdessen lieber entspannte Momente in Eurer Community.",,,2019.0
87838,130.0,floor_heating,True,True,3,726.0,2020.0,,,False,True,9.0,596.0,54.71,,,negotiable,True,ground_floor,50769,2.0,,,,2,True,Worringen,"Alle Wohnungen verfügen über barrierefreie Grundrisse. 

Je Haus ist eine Aufzugsanlage vorhanden, die Sie bequem vom Kellergeschoss bis ins Obergeschoss bringt.

Die intelligent geplanten Grundrisse tragen Ihren individuellen Wohnbedürfnissen Rechnung.

Besonders  innovativ für diese Wohnanlage ist eine Luft-Wärmepumpen-Heizungsanlage, die alle Wohnungen mit Wärme und Warmwasser versorgt. Diese kostengünstige Art der Wärmeerzeugung reduziert die Nebenkosten dauerhaft erheblich!

Eine Fußbodenheizung sorgt für wohlige Wärme. Die Bäder haben zusätzlich einen individuell regelbaren elektrischen Handtuchheizkörper.

Die ansprechenden Bäder werden mit einer bodengleichen Dusche und Glasduschkabine ausgestattet. Die Bäder der behindertengerechten Wohnungen erhalten eine Vorhangstange.

Neben dem separaten Mieterkeller haben Sie die Möglichkeit, den allgemeinen Fahrradkeller, einen eigenen Stellplatz für Waschmaschine und Trockner sowie einen Trockenraum zu nutzen.",,,
88049,160.0,,False,False,60,650.0,,,,False,True,,490.0,46.0,,,,False,other,51107,2.0,,2.0,3.0,2,False,Kalk,"Granitfliesen in der Küche und Diele Rest Laminat
Heizung Gas / Etagenheizung

",,,2014.0
88050,55.0,central_heating,False,False,8,578.0,1965.0,,gas,True,False,2.0,510.0,26.58,well_kept,,,False,apartment,50823,1.0,72.0,4.0,4.0,1,False,Ehrenfeld,"Allgemein:
- Kabel-TV, Grundversorgung

Räume:
- verputzte Wände

Küche:
- Elektroherd, Cerankochfeld
- Kühl-/Gefrierkombination

Badezimmer:
- Dusche

",13.0,,
88122,110.0,central_heating,False,False,6,660.0,1880.0,,,False,False,1.0,550.0,40.0,,sophisticated,no,False,maisonette,50733,2.0,,2.0,2.0,2,False,Nippes,Parkettboden,,,
88230,300.0,central_heating,False,True,11,1295.0,,,,False,True,,995.0,136.0,well_kept,normal,negotiable,False,maisonette,51109,3.0,,3.0,3.0,3,False,Merheim,"Laminat und Fliesen, Fußbodenheizung in allen Räumen.",,,
88279,215.0,oil_heating,False,True,11,965.0,1962.0,,oil,False,True,2.0,750.0,65.4,fully_renovated,normal,no,False,apartment,50679,3.0,104.0,1.0,5.0,3,False,Deutz,"Eine Raumübersicht: 

* Wohn-/Esszimmer + Balkon
* Diele
* Küche 
* Elternschlafzimmer
* Kinderzimmer
* Badezimmer mit Dusche und Dusche
* Kellerraum

Bauweise: massiv
Fenster: Kunststoff weiß und grau, straßenseitig 3-fache Isolierverglasung
Heizung: Öl-Zentralheizung
Warmwasser: über Heizung
Treppen: Beton, Steinbelag
Fassade: 2019 energetische Sanierung  
Badausstattung: Dusche, Badzimmerausstattung neuwertig (2013)
Decken: WEISS 
Wände: Tapete gestrichen in WEISS 
Türen+Rahmen: Holz, weiß
Böden: Laminat, Fliesen
TV: Kabelfernsehen (in Nebenkosten enthalten)
Keller: Kellerraum je Mieter",,,2019.0
88349,355.0,central_heating,False,False,9,1850.0,1957.0,,gas,False,False,2.0,1495.0,115.0,modernized,normal,,False,apartment,50674,2.0,185.4,10.0,12.0,2,False,Altstadt_&_Neustadt_Süd,,160.0,,
88455,140.0,central_heating,True,True,1,795.0,2018.0,1.0,gas,False,True,9.0,655.0,56.1,first_time_use,sophisticated,,True,ground_floor,51145,2.0,,,,2,True,Elsdorf,"- hochwertiger Design Vinyl Boden in der ganzen Wohnung verlegt
- Badewanne mit Duschabtrennung 
- Personenaufzug
- Rollläden",,,
88515,140.0,self_contained_central_heating,False,False,9,1040.0,1960.0,,gas,False,False,2.0,900.0,86.0,well_kept,normal,negotiable,False,apartment,51103,3.0,,4.0,4.0,3,False,Kalk,"Oberböden:
hochwertiger Laminatboden in Parkett-Optik;
Bad: 2019 saniert, Wannenbad mit separater Dusche, weiß/ antrazit gefliest, WC und Waschmaschinenanschluss, elektrische Lüftung.
Türen und Zargen:
Matt-weiß lackiert.
Wände und Decken:
Verputzt und weiß gestrichen.
Fenster:
Weiße Fenster, Holzfenster, weiß lackiert, nach hinten, Kunstoffenster nach vorne (neu), Wärmeschutzglas.
Küche:
Weiß/grau gefliest (2019 saniert)
Gegensprechanlage",,,2019.0
88592,,central_heating,False,False,13,,1874.0,,district_heating,True,True,1.0,839.0,65.0,well_kept,sophisticated,no,False,ground_floor,50829,1.5,,0.0,2.0,1,False,Bocklemünd/Mengenich,"Moderne Designer-Möblierung, Teppichboden, voll ausgestattete offene Einbauküche mit Spülmaschine, Tageslicht-Badezimmer mit Dusche, Kabel-TV, WLAN Internetanschluss, Waschmaschine und Trockner in Waschküche vorhanden",,,
88653,265.0,,False,True,9,1250.0,,,district_heating,False,False,,985.0,89.02,,,,True,apartment,50829,3.0,59.0,2.0,,3,False,Ossendorf,"Balkon, Bad mit Badewanne, Fußbodenheizung, Parkett, elektrische Rolläden, Funkwärmemengenzähler, Videogegensprechanlage, separater Kellerraum, Rauchwarnmelder, separater Fahrradkeller, Aufzug",,,
88657,134.0,district_heating,False,False,6,,2017.0,,local_heating,False,False,9.0,654.07,33.51,mint_condition,,no,True,,51105,1.0,43.88,1.0,4.0,1,False,Humboldt/Gremberg,"Die Appartements sind voll möbliert und modern eingerichtet. Eine Pantry-Küche mit Herd, Spüle, Kühlschrank, Mikrowelle, Kleiderschrank, Schreibtisch mit Stuhl, Hänge- und Standregal, Garderobe mit Spiegel, Bett mit Lattenrost (90 cm x 200 cm) vervollständigen die Einrichtung.
Das Objekt umfasst folgende Appartements:
•	137 Appartements (19 - 74 m² Wohnfläche)
•	10 Kfz-Stellplätze / 28 TG-Stellplätze",,A_PLUS,
88658,50.0,central_heating,True,True,6,630.0,2019.0,1.0,gas,True,False,9.0,530.0,35.3,first_time_use,luxury,no,False,apartment,51105,1.0,,1.0,3.0,1,False,Humboldt/Gremberg,,50.0,,
